region,anzsic_descriptor,gas,units,magnitude,year,data_val
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,374.27
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,322.28
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,328.19
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,284.35
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,219.79
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,200.62
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,222
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,28.03
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,35.32
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,39.97
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,54.87
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,61.23
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,64.92
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,68.32
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,65.15
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,71.42
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,77.5
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,64.85
Gisborne,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,72.78
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,59.5
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,52.45
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,49.1
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,65.64
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,60.05
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,62.64
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,65.39
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,72.89
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,69.47
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,71.83
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,72.87
Hawke's Bay,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,68.33
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,41.02
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,43.86
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,45.85
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,61.77
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,65.68
Manawatu-Whanganui,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,68.05
